taxonomy,imt,iml_unit,noDamageLimit,iml,Slight,Moderate,Extreme,Complete
W1,PGA,g,0.01,0.01,1.783E-07,1.907E-10,1.7106E-14,5.8357E-17
W1,PGA,g,0.01,0.05,0.0049971,0.000089584,2.0254E-07,3.9246E-09
W1,PGA,g,0.01,0.1,0.06772,0.0038647,0.000033953,1.3752E-06
W1,PGA,g,0.01,0.15,0.19505,0.021172,0.0004041,0.000025058
W1,PGA,g,0.01,0.2,0.34092,0.056982,0.001863,0.00015573
W1,PGA,g,0.01,0.25,0.47557,0.10898,0.0053583,0.00056314
W1,PGA,g,0.01,0.3,0.58846,0.1718,0.011697,0.0014791
W1,PGA,g,0.01,0.35,0.67884,0.24002,0.021379,0.0031554
W1,PGA,g,0.01,0.4,0.74956,0.30939,0.034576,0.0058255
W1,PGA,g,0.01,0.45,0.80431,0.37693,0.051194,0.0096806
W1,PGA,g,0.01,0.5,0.84655,0.44081,0.070949,0.014857
W1,PGA,g,0.01,0.55,0.87914,0.5,0.093444,0.021436
W1,PGA,g,0.01,0.6,0.90433,0.55407,0.11823,0.029446
W1,PGA,g,0.01,0.65,0.92389,0.60296,0.14484,0.038872
W1,PGA,g,0.01,0.7,0.93913,0.64684,0.17283,0.049662
W1,PGA,g,0.01,0.75,0.95107,0.68603,0.2018,0.061739
W1,PGA,g,0.01,0.8,0.96047,0.72088,0.23136,0.075005
W1,PGA,g,0.01,0.85,0.96791,0.75181,0.2612,0.08935
W1,PGA,g,0.01,0.9,0.97382,0.7792,0.29104,0.10466
W1,PGA,g,0.01,0.95,0.97855,0.80344,0.32066,0.1208
W1,PGA,g,0.01,1,0.98235,0.82488,0.34985,0.13767
W2,PGA,g,0.01,0.01,1.783E-07,1.5913E-10,6.1293E-14,3.7176E-17
W2,PGA,g,0.01,0.05,0.0049971,0.000080047,4.8111E-07,2.853E-09
W2,PGA,g,0.01,0.1,0.06772,0.0035531,0.00006777,1.0575E-06
W2,PGA,g,0.01,0.15,0.19505,0.019781,0.00072972,0.000019905
W2,PGA,g,0.01,0.2,0.34092,0.053832,0.0031368,0.00012657
W2,PGA,g,0.01,0.25,0.47557,0.10381,0.008552,0.0004658
W2,PGA,g,0.01,0.3,0.58846,0.16472,0.017883,0.001241
W2,PGA,g,0.01,0.35,0.67884,0.23136,0.031533,0.0026791
W2,PGA,g,0.01,0.4,0.74956,0.29954,0.049463,0.0049971
W2,PGA,g,0.01,0.45,0.80431,0.36629,0.071318,0.0083786
W2,PGA,g,0.01,0.5,0.84655,0.42972,0.096557,0.012961
W2,PGA,g,0.01,0.55,0.87914,0.48877,0.12456,0.018834
W2,PGA,g,0.01,0.6,0.90433,0.54292,0.15469,0.026039
W2,PGA,g,0.01,0.65,0.92389,0.59207,0.18634,0.034576
W2,PGA,g,0.01,0.7,0.93913,0.63633,0.21897,0.044412
W2,PGA,g,0.01,0.75,0.95107,0.67597,0.2521,0.055487
W2,PGA,g,0.01,0.8,0.96047,0.71134,0.28534,0.06772
W2,PGA,g,0.01,0.85,0.96791,0.74281,0.31835,0.081017
W2,PGA,g,0.01,0.9,0.97382,0.77076,0.35086,0.095276
W2,PGA,g,0.01,0.95,0.97855,0.79555,0.38265,0.11039
W2,PGA,g,0.01,1,0.98235,0.81752,0.41357,0.12624
S1L,PGA,g,0.01,0.01,2.1055E-06,4.0339E-08,4.0629E-11,2.6693E-15
S1L,PGA,g,0.01,0.05,0.018492,0.0021801,0.000033953,5.6671E-08
S1L,PGA,g,0.01,0.1,0.15796,0.038546,0.001863,0.000012168
S1L,PGA,g,0.01,0.15,0.35593,0.12834,0.011697,0.00016704
S1L,PGA,g,0.01,0.2,0.53194,0.24674,0.034576,0.000851
S1L,PGA,g,0.01,0.25,0.66597,0.36839,0.070949,0.0026421
S1L,PGA,g,0.01,0.3,0.76229,0.47957,0.11823,0.0061348
S1L,PGA,g,0.01,0.35,0.8301,0.5752,0.17283,0.011804
S1L,PGA,g,0.01,0.4,0.87762,0.65478,0.23136,0.01995
S1L,PGA,g,0.01,0.45,0.91105,0.71982,0.29104,0.030689
S1L,PGA,g,0.01,0.5,0.93471,0.77245,0.34985,0.043992
S1L,PGA,g,0.01,0.55,0.95162,0.81483,0.40641,0.059711
S1L,PGA,g,0.01,0.6,0.96381,0.84892,0.45984,0.077622
S1L,PGA,g,0.01,0.65,0.97268,0.87634,0.50966,0.097456
S1L,PGA,g,0.01,0.7,0.9792,0.89843,0.55568,0.11892
S1L,PGA,g,0.01,0.75,0.98404,0.91628,0.59786,0.14173
S1L,PGA,g,0.01,0.8,0.98766,0.93074,0.63633,0.16559
S1L,PGA,g,0.01,0.85,0.99038,0.94249,0.67126,0.19024
S1L,PGA,g,0.01,0.9,0.99246,0.95208,0.70288,0.21543
S1L,PGA,g,0.01,0.95,0.99404,0.95993,0.73144,0.24096
S1L,PGA,g,0.01,1,0.99527,0.96637,0.7572,0.26661
S1M,PGA,g,0.01,0.01,0.000018656,1.783E-07,5.6426E-11,4.4365E-15
S1M,PGA,g,0.01,0.05,0.053832,0.0049971,0.000041789,8.042E-08
S1M,PGA,g,0.01,0.1,0.29954,0.06772,0.0021801,0.000016147
S1M,PGA,g,0.01,0.15,0.54292,0.19505,0.013301,0.00021325
S1M,PGA,g,0.01,0.2,0.71134,0.34092,0.038546,0.0010574
S1M,PGA,g,0.01,0.25,0.81752,0.47557,0.077927,0.0032155
S1M,PGA,g,0.01,0.3,0.88314,0.58846,0.12834,0.0073421
S1M,PGA,g,0.01,0.35,0.92389,0.67884,0.18582,0.013931
S1M,PGA,g,0.01,0.4,0.94953,0.74956,0.24674,0.023264
S1M,PGA,g,0.01,0.45,0.96595,0.80431,0.30828,0.035417
S1M,PGA,g,0.01,0.5,0.97665,0.84655,0.36839,0.050304
S1M,PGA,g,0.01,0.55,0.98374,0.87914,0.42576,0.06772
S1M,PGA,g,0.01,0.6,0.98851,0.90433,0.47957,0.087386
S1M,PGA,g,0.01,0.65,0.99178,0.92389,0.52943,0.10898
S1M,PGA,g,0.01,0.7,0.99404,0.93913,0.5752,0.13217
S1M,PGA,g,0.01,0.75,0.99564,0.95107,0.61693,0.15664
S1M,PGA,g,0.01,0.8,0.99677,0.96047,0.65478,0.18206
S1M,PGA,g,0.01,0.85,0.99758,0.96791,0.68899,0.20817
S1M,PGA,g,0.01,0.9,0.99818,0.97382,0.71982,0.23469
S1M,PGA,g,0.01,0.95,0.99861,0.97855,0.74755,0.26141
S1M,PGA,g,0.01,1,0.99894,0.98235,0.77245,0.28813
S1H,PGA,g,0.01,0.01,0.00016047,9.8213E-07,3.333E-10,1.2932E-14
S1H,PGA,g,0.01,0.05,0.13939,0.01247,0.00012657,1.6738E-07
