asset_ref,no_damage,slight,moderate,extreme,complete
a1056,1.697727325E+02,1.849059991E+00,1.064358374E+00,2.446231310E-01,6.922597938E-02
a1057,1.702918205E+02,1.549829044E+00,8.927738336E-01,2.061944863E-01,5.938218611E-02
a1058,1.682313208E+02,2.706899999E+00,1.578261285E+00,3.714371602E-01,1.120807731E-01
a1059,1.700752948E+02,1.678256392E+00,9.646907223E-01,2.208290449E-01,6.092904986E-02
a106,2.940579871E+00,3.359592819E-02,1.969520583E-02,4.701824249E-03,1.427171164E-03
a1060,1.718808494E+02,1.202376351E+00,6.992053698E-01,1.659044524E-01,5.166446969E-02
a1061,1.692918440E+02,2.709692682E+00,1.555663513E+00,3.511304867E-01,9.166927664E-02
a1062,1.709927114E+02,1.718347171E+00,9.924520087E-01,2.300922520E-01,6.639717279E-02
a1063,1.708897419E+02,1.779777972E+00,1.026233560E+00,2.368203101E-01,6.742630690E-02
a1064,1.705565882E+02,1.912972244E+00,1.145690362E+00,2.870832573E-01,9.766593110E-02
a1065,1.710953916E+02,2.243045564E+00,1.287816091E+00,2.931352912E-01,8.061145719E-02
a1066,1.718428676E+02,1.807120980E+00,1.042435884E+00,2.402770547E-01,6.729849397E-02
a1067,1.731523524E+02,1.631116324E+00,9.386164597E-01,2.161471426E-01,6.176763293E-02
a1068,1.721990607E+02,2.118796207E+00,1.263298197E+00,3.135357876E-01,1.053090854E-01
a1069,1.743266200E+02,1.529943505E+00,8.816108282E-01,2.036340745E-01,5.819155286E-02
a107,2.940552979E+00,3.306413962E-02,1.972937746E-02,4.932261742E-03,1.721242277E-03
a1070,1.735170952E+02,1.986000338E+00,1.151788886E+00,2.683132474E-01,7.680232200E-02
a1071,1.744650292E+02,1.997908544E+00,1.171116337E+00,2.799175983E-01,8.602835594E-02
a1072,1.743948312E+02,2.019787682E+00,1.194131909E+00,2.926249759E-01,9.862419608E-02
a1073,1.772675080E+02,1.563193239E+00,9.010137674E-01,2.083503648E-01,5.993463259E-02
a1074,1.765366767E+02,1.960306233E+00,1.144238390E+00,2.725796462E-01,8.619901282E-02
a1075,1.764526871E+02,2.006371093E+00,1.174539695E+00,2.802172668E-01,8.618480236E-02
a1076,1.775963167E+02,1.371224809E+00,7.924539434E-01,1.849659446E-01,5.503865100E-02
a1077,1.786634200E+02,1.343441060E+00,7.700842667E-01,1.754927662E-01,4.756195477E-02
a1078,1.783264741E+02,1.529096163E+00,8.822410064E-01,2.041626851E-01,5.802606329E-02
a1079,1.778149920E+02,1.828218951E+00,1.049444312E+00,2.399642236E-01,6.738054142E-02
a108,2.898183776E+00,5.914242988E-02,3.357826125E-02,7.337213831E-03,1.758319531E-03
a1080,1.795081455E+02,1.417751963E+00,8.212485656E-01,1.931820755E-01,5.967194157E-02
a1081,1.786183649E+02,1.922628451E+00,1.117417982E+00,2.626673426E-01,7.892134891E-02
a1082,1.786317927E+02,1.919923791E+00,1.113362677E+00,2.597071824E-01,7.521361124E-02
a1083,1.791446248E+02,2.154798318E+00,1.277393555E+00,3.150888683E-01,1.080944651E-01
a1084,1.797096557E+02,1.882757093E+00,1.085690971E+00,2.505602841E-01,7.133595635E-02
a1085,1.798992256E+02,1.775890581E+00,1.021762850E+00,2.353078989E-01,6.781309790E-02
a1086,1.798980526E+02,1.776994670E+00,1.022333234E+00,2.352633242E-01,6.735621838E-02
a1087,1.801380709E+02,2.149877441E+00,1.283104048E+00,3.197270103E-01,1.092206437E-01
a1088,1.815680921E+02,1.969379084E+00,1.130694875E+00,2.586430499E-01,7.319092365E-02
a1089,1.819616368E+02,1.731051824E+00,1.002803691E+00,2.346342629E-01,6.987337601E-02
a109,2.919362940E+00,4.730416270E-02,2.650355582E-02,5.624578610E-03,1.204762585E-03
a1090,1.791331229E+02,3.350274483E+00,1.940680524E+00,4.478575111E-01,1.280645648E-01
a1091,1.815827608E+02,1.956300015E+00,1.127307703E+00,2.597443397E-01,7.388713273E-02
a1092,1.838351358E+02,1.239942462E+00,7.141481460E-01,1.647378590E-01,4.603569039E-02
a1093,1.819409227E+02,2.247282555E+00,1.346167591E+00,3.405140321E-01,1.251131078E-01
