asset_ref,no_damage,slight,moderate,extreme,complete
a1984,1.101170451E+03,1.078972146E+01,6.207565450E+00,1.427277044E+00,4.049852531E-01
a1985,1.109167342E+03,7.845908827E+00,4.564415974E+00,1.084123826E+00,3.382094086E-01
a1986,1.108967633E+03,7.989336696E+00,4.628897234E+00,1.087007106E+00,3.271261884E-01
a1987,1.115797872E+03,6.949687589E+00,4.024016378E+00,9.448085952E-01,2.836152168E-01
a1988,1.115284830E+03,1.014402316E+01,5.840707319E+00,1.346490156E+00,3.839492355E-01
a1989,1.124224406E+03,8.978664588E+00,5.201785078E+00,1.222328513E+00,3.728157976E-01
a199,6.852283434E+00,8.183148129E-02,4.899325476E-02,1.237644392E-02,4.515386226E-03
a1990,1.128290448E+03,8.391554914E+00,4.852525153E+00,1.132567059E+00,3.329045258E-01
a1991,1.132322893E+03,8.912619425E+00,5.167063008E+00,1.218234842E+00,3.791894141E-01
a1992,1.130714836E+03,1.048432073E+01,6.032658184E+00,1.384740622E+00,3.834443287E-01
a1993,1.138386337E+03,7.236519427E+00,4.154107130E+00,9.541771258E-01,2.688589350E-01
a1994,1.136006810E+03,9.129404682E+00,5.279260925E+00,1.229252623E+00,3.552716484E-01
a1995,1.134338805E+03,1.068055496E+01,6.149039566E+00,1.419469035E+00,4.121310850E-01
a1996,1.138510491E+03,8.779406155E+00,5.113477208E+00,1.216128790E+00,3.804966833E-01
a1997,1.148695223E+03,5.478296491E+00,3.043914535E+00,6.442371857E-01,1.383290764E-01
a1998,1.147082017E+03,7.907596490E+00,4.591448392E+00,1.085182691E+00,3.337556892E-01
a1999,1.150159457E+03,1.138746815E+01,6.545514375E+00,1.497203310E+00,4.103576567E-01
a2,9.818639691E-01,1.065076667E-02,5.949317707E-03,1.263356927E-03,2.725895748E-04
a20,9.807345146E-01,1.113135926E-02,6.345101325E-03,1.420500830E-03,3.685239440E-04
a200,6.853709212E+00,8.132315972E-02,4.862102608E-02,1.216240731E-02,4.184194589E-03
a2000,1.151791918E+03,1.211425637E+01,6.997916628E+00,1.623413524E+00,4.724958637E-01
a2001,1.162753974E+03,1.101291526E+01,6.345971874E+00,1.465692912E+00,4.214455281E-01
a2002,1.166434058E+03,1.123005367E+01,6.452899829E+00,1.476322856E+00,4.066651464E-01
a2003,1.172368151E+03,8.922345944E+00,5.156268519E+00,1.201393305E+00,3.518411207E-01
a2004,1.170012697E+03,1.028350953E+01,5.935665846E+00,1.374780601E+00,3.933471111E-01
a2005,1.182914519E+03,6.475109456E+00,3.636340983E+00,7.896617470E-01,1.843690038E-01
a2006,1.186134397E+03,9.051431461E+00,5.237146648E+00,1.221856624E+00,3.551685593E-01
a2007,1.186525608E+03,9.414167582E+00,5.433847576E+00,1.261403607E+00,3.649737282E-01
a2008,1.194336717E+03,5.699158776E+00,3.159521693E+00,6.647907254E-01,1.398121278E-01
a2009,1.180063244E+03,1.356112189E+01,7.914447113E+00,1.879534216E+00,5.816531257E-01
a201,6.890682139E+00,6.244683972E-02,3.603953800E-02,8.369504346E-03,2.461978595E-03
a2010,1.181922980E+03,1.322489399E+01,7.613316806E+00,1.748043064E+00,4.907664767E-01
a2011,1.183375723E+03,1.293163305E+01,7.469984969E+00,1.728310024E+00,4.943491712E-01
a2012,1.199523337E+03,6.085020438E+00,3.438586344E+00,7.610363733E-01,1.920199015E-01
a2013,1.199789950E+03,9.784548916E+00,5.681390033E+00,1.338708859E+00,4.054024623E-01
a2014,1.200962359E+03,1.028222186E+01,5.943187993E+00,1.389479800E+00,4.227517897E-01
a2015,1.208439647E+03,6.664044058E+00,3.799206396E+00,8.608527869E-01,2.362499029E-01
a2016,1.204665840E+03,1.108620784E+01,6.378081270E+00,1.463946033E+00,4.059244781E-01
a2017,1.204879032E+03,1.213321970E+01,6.967056854E+00,1.589052670E+00,4.316390490E-01
a2018,1.211262236E+03,1.131100683E+01,6.510804958E+00,1.497026180E+00,4.189265047E-01
a2019,1.214563709E+03,9.364050584E+00,5.422055025E+00,1.270394461E+00,3.797908347E-01
a202,6.861977360E+00,7.802167720E-02,4.564474300E-02,1.090946701E-02,3.446752931E-03
a2020,1.224988775E+03,6.338594807E+00,3.615725529E+00,8.232053669E-01,2.336991098E-01
a2021,1.214890459E+03,1.418125999E+01,8.326249853E+00,1.993228528E+00,6.088026495E-01
a2022,1.226799199E+03,8.067451832E+00,4.677876215E+00,1.106485069E+00,3.489882342E-01
a2023,1.225533431E+03,9.369213169E+00,5.430764452E+00,1.277516408E+00,3.890752299E-01
a2024,1.227869555E+03,8.615936331E+00,4.987479834E+00,1.171102608E+00,3.559267211E-01
a2025,1.219276918E+03,1.449965402E+01,8.519506930E+00,2.051383372E+00,6.525373466E-01
a2026,1.219570967E+03,1.459351906E+01,8.387984856E+00,1.916467096E+00,5.310619610E-01
a2027,1.220854064E+03,1.409220931E+01,8.333710731E+00,2.040887715E+00,6.791280413E-01
a2028,1.235820497E+03,1.036672805E+01,5.998619624E+00,1.400784350E+00,4.133713148E-01
a2029,1.241774291E+03,9.825067778E+00,5.679763757E+00,1.326123399E+00,3.947538930E-01
a203,6.859886679E+00,7.806003415E-02,4.638290832E-02,1.154929167E-02,4.121087267E-03
a2030,1.245136970E+03,8.971395575E+00,5.237913220E+00,1.254238408E+00,3.994824212E-01
a2031,1.253040240E+03,8.482684766E+00,4.928835716E+00,1.172081588E+00,3.761575415E-01
a2032,1.249564318E+03,1.167526736E+01,6.734297160E+00,1.563129854E+00,4.629871503E-01
a2033,1.270099243E+03,5.843917263E+00,3.236013604E+00,6.791360914E-01,1.416902297E-01
a2034,1.264181262E+03,1.016526652E+01,5.874327966E+00,1.370647839E+00,4.084959757E-01
a2035,1.269988141E+03,7.027292024E+00,3.938952276E+00,8.508769227E-01,1.947376689E-01
a2036,1.267886163E+03,8.604056289E+00,4.990561676E+00,1.172489611E+00,3.467290667E-01
a2037,1.268188363E+03,8.978988547E+00,5.211449487E+00,1.233472098E+00,3.877264572E-01
a2038,1.263415476E+03,1.239294271E+01,7.118715053E+00,1.626675000E+00,4.461916265E-01
a2039,1.270144549E+03,9.550291867E+00,5.565320270E+00,1.325269034E+00,4.145703257E-01
a204,6.898541164E+00,5.784114570E-02,3.343994975E-02,7.816396774E-03,2.361344097E-03
a2040,1.278272691E+03,7.811887162E+00,4.521471033E+00,1.064749656E+00,3.292006861E-01
a2041,1.277912472E+03,1.092538971E+01,6.298673586E+00,1.454088971E+00,4.093759087E-01
a2042,1.286922219E+03,6.502529491E+00,3.627461727E+00,7.753927814E-01,1.723974393E-01
a2043,1.278205278E+03,1.189751620E+01,6.854237181E+00,1.584038886E+00,4.589293358E-01
a2044,1.290683658E+03,7.155059240E+00,4.044467506E+00,8.940192039E-01,2.227957442E-01
a2045,1.279930717E+03,1.322576293E+01,7.603142040E+00,1.744815882E+00,4.955621887E-01
a2046,1.309353396E+03,1.062658636E+01,6.144995702E+00,1.438144437E+00,4.368779711E-01
a2047,1.319074654E+03,1.242868469E+01,7.232820778E+00,1.718202761E+00,5.456378668E-01
a2048,1.322965116E+03,1.028656998E+01,5.947232810E+00,1.388684649E+00,4.123964101E-01
a2049,1.323384054E+03,1.058974223E+01,6.135311676E+00,1.443830073E+00,4.470617322E-01
a205,6.876845617E+00,7.165723685E-02,4.049224383E-02,8.869319373E-03,2.135582699E-03
a2050,1.321646025E+03,1.275481365E+01,7.375255257E+00,1.717781451E+00,5.061251338E-01
a2051,1.320689634E+03,1.536790519E+01,9.038607006E+00,2.188521647E+00,7.153323665E-01
a2052,1.331523608E+03,1.169174764E+01,6.746091105E+00,1.569160498E+00,4.693929319E-01
a2053,1.336943937E+03,9.692694571E+00,5.625240133E+00,1.328360246E+00,4.097678074E-01
a2054,1.330622527E+03,1.343485949E+01,7.711203610E+00,1.756523750E+00,4.748858452E-01
a2055,1.340983304E+03,8.027870762E+00,4.616647780E+00,1.066175742E+00,3.060014851E-01
a2056,1.344069803E+03,1.019288527E+01,5.914179283E+00,1.394993790E+00,4.281386738E-01
a2057,1.352615544E+03,7.649145440E+00,4.402338200E+00,1.024167827E+00,3.088044308E-01
a2058,1.358263274E+03,6.909603054E+00,3.840583352E+00,8.127362965E-01,1.738034807E-01
a2059,1.359512529E+03,8.790204662E+00,5.107614881E+00,1.211426365E+00,3.782249880E-01
a206,6.850572992E+00,8.287630840E-02,4.958302329E-02,1.248223512E-02,4.485441293E-03
a2060,1.363634478E+03,1.054728067E+01,6.056613485E+00,1.384752345E+00,3.768758245E-01
a2061,1.371480892E+03,8.799235655E+00,5.111215416E+00,1.216157140E+00,3.924998458E-01
a2062,1.368931041E+03,1.321282467E+01,7.601130520E+00,1.750540806E+00,5.044628913E-01
a2063,1.369324048E+03,1.473413395E+01,8.472582042E+00,1.937389757E+00,5.318464458E-01
a2064,1.375621114E+03,1.919390928E+01,1.100699650E+01,2.496228307E+00,6.817522744E-01
a2065,1.397681901E+03,8.228791141E+00,4.714462992E+00,1.077496771E+00,2.973481215E-01
a2066,1.390377857E+03,1.351297281E+01,7.783763355E+00,1.799307984E+00,5.260991549E-01
a2067,1.396834391E+03,9.807051655E+00,5.660624055E+00,1.315804068E+00,3.821287739E-01
a2068,1.398619751E+03,1.044893876E+01,6.064989220E+00,1.430347223E+00,4.359737345E-01
a2069,1.406297194E+03,8.429936042E+00,4.835968748E+00,1.113636071E+00,3.232647292E-01
a207,6.756577517E+00,1.426559041E-01,8.015259506E-02,1.699817632E-02,3.615807638E-03
a2070,1.410201128E+03,6.919911138E+00,3.864153834E+00,8.284658508E-01,1.863411424E-01
a2071,1.401224064E+03,1.240566793E+01,7.188198001E+00,1.682774607E+00,4.992956747E-01
a2072,1.411947060E+03,7.094411327E+00,3.944212253E+00,8.352513404E-01,1.790647176E-01
a2073,1.405524876E+03,1.112190846E+01,6.428342375E+00,1.494919227E+00,4.299536265E-01
a2074,1.398564238E+03,1.608908332E+01,9.422289171E+00,2.244601057E+00,6.797886384E-01
a2075,1.428911704E+03,7.640862189E+00,4.294347285E+00,9.342380879E-01,2.188479651E-01
a2076,1.433922554E+03,6.538835821E+00,3.620481591E+00,7.597013041E-01,1.584267937E-01
a2077,1.442865644E+03,1.261747568E+01,7.298267482E+00,1.706042214E+00,5.125706172E-01
a2078,1.446374054E+03,1.112272936E+01,6.479979556E+00,1.541596309E+00,4.816405873E-01
a2079,1.449277269E+03,1.064869799E+01,6.175221960E+00,1.454521692E+00,4.442898415E-01
a208,6.849685027E+00,8.323483543E-02,4.993055104E-02,1.262100511E-02,4.528581406E-03
a2080,1.466879035E+03,7.706124283E+00,4.297202062E+00,9.165263943E-01,2.011118114E-01
a2081,1.454468744E+03,1.465780665E+01,8.418840162E+00,1.924014861E+00,5.305939438E-01
a2082,1.458906673E+03,1.324063185E+01,7.618079513E+00,1.749159484E+00,4.854559098E-01
a2083,1.472127120E+03,1.015983731E+01,5.896198326E+00,1.391424494E+00,4.254197390E-01
a2084,1.476567860E+03,1.104421964E+01,6.407980878E+00,1.512496141E+00,4.674437716E-01
a2085,1.485320552E+03,6.893278635E+00,3.817513215E+00,8.013505480E-01,1.673058332E-01
a2086,1.480542588E+03,1.110532644E+01,6.417915058E+00,1.495821852E+00,4.383489500E-01
a2087,1.474244929E+03,1.630649823E+01,9.512222868E+00,2.253162929E+00,6.831869188E-01
a2088,1.495259842E+03,9.041009215E+00,5.184556557E+00,1.186711958E+00,3.278800163E-01
a2089,1.502544348E+03,8.343648236E+00,4.753707683E+00,1.072567555E+00,2.857281739E-01
a209,6.857185431E+00,8.000988800E-02,4.733051531E-02,1.159673093E-02,3.877435183E-03
a2090,1.508876119E+03,1.713165102E+01,9.961132858E+00,2.338558229E+00,6.925392204E-01
a2091,1.527985077E+03,1.024956577E+01,5.942643654E+00,1.398883335E+00,4.238305196E-01
a2092,1.522464259E+03,1.405771294E+01,8.093732454E+00,1.862259622E+00,5.220363036E-01
a2093,1.524325370E+03,1.295420685E+01,7.476504038E+00,1.736289114E+00,5.076298331E-01
a2094,1.530853223E+03,1.317389573E+01,7.640526871E+00,1.794075142E+00,5.382790330E-01
a2095,1.532811865E+03,1.670019000E+01,9.632424284E+00,2.222492990E+00,6.330276122E-01
a2096,1.546379204E+03,1.344933256E+01,7.794190240E+00,1.828021762E+00,5.492514355E-01
a2097,1.547584302E+03,1.396005826E+01,8.051080403E+00,1.864598487E+00,5.399610248E-01
a2098,1.541491696E+03,1.819493302E+01,1.077662478E+01,2.647818143E+00,8.889280097E-01
a2099,1.549538302E+03,1.737274984E+01,1.006993471E+01,2.344907341E+00,6.741065772E-01
a21,9.816323623E-01,1.047257992E-02,6.061478021E-03,1.414062692E-03,4.195170854E-04
a210,6.858987697E+00,7.941353428E-02,4.665148407E-02,1.126841890E-02,3.678865635E-03
a2100,1.561671562E+03,1.327492561E+01,7.691695049E+00,1.807970479E+00,5.538470316E-01
a2101,1.555729649E+03,1.671765599E+01,9.669347209E+00,2.243076718E+00,6.402709559E-01
a2102,1.567628244E+03,1.101202430E+01,6.387140565E+00,1.507396011E+00,4.651952709E-01
a2103,1.567777547E+03,1.379022370E+01,7.996950397E+00,1.875858640E+00,5.594199517E-01
a2104,1.581346450E+03,8.561343667E+00,4.807203891E+00,1.043050298E+00,2.419516983E-01
a2105,1.582997099E+03,1.250368203E+01,7.266447688E+00,1.714705571E+00,5.180659506E-01
a2106,1.582914107E+03,1.317929866E+01,7.610532009E+00,1.771774173E+00,5.242878984E-01
a2107,1.593990541E+03,1.028634071E+01,5.940954485E+00,1.382672630E+00,3.994910700E-01
a2108,1.594301562E+03,1.234818712E+01,7.151756274E+00,1.681267063E+00,5.172278676E-01
a2109,1.612103356E+03,7.025127771E+00,3.887337806E+00,8.147767400E-01,1.694013793E-01
a211,6.852469725E+00,8.212429249E-02,4.903040443E-02,1.221906377E-02,4.156514724E-03
a2110,1.602679846E+03,1.444117279E+01,8.356167725E+00,1.949513977E+00,5.732994022E-01
a2111,1.600319763E+03,1.590657109E+01,9.130132825E+00,2.080439137E+00,5.630942906E-01
a2112,1.612552989E+03,9.485352295E+00,5.411389925E+00,1.223549409E+00,3.267196726E-01
a2113,1.628509737E+03,1.163940053E+01,6.757481481E+00,1.597852795E+00,4.955286082E-01
a2114,1.620824204E+03,1.617460502E+01,9.295103181E+00,2.124774396E+00,5.813137346E-01
a2115,1.640494973E+03,7.949329094E+00,4.419142653E+00,9.358754709E-01,2.006793121E-01
a2116,1.627202031E+03,1.705043581E+01,9.835999816E+00,2.269749237E+00,6.417839199E-01
a2117,1.648898200E+03,1.202978846E+01,6.960188327E+00,1.628136833E+00,4.836867661E-01
a2118,1.645629330E+03,1.504939274E+01,8.692261334E+00,2.024298633E+00,6.047169354E-01
a2119,1.653859274E+03,1.094019705E+01,6.309798453E+00,1.465446123E+00,4.252846217E-01
a212,7.853509851E+00,8.599327785E-02,4.807031553E-02,1.022094538E-02,2.205610531E-03
a2120,1.654232069E+03,1.239401435E+01,7.178341365E+00,1.685348942E+00,5.102264042E-01
a2121,1.658483163E+03,1.402512773E+01,8.091495796E+00,1.871278904E+00,5.289344321E-01
a2122,1.662562781E+03,1.279631367E+01,7.401703427E+00,1.728699979E+00,5.105015630E-01
a2123,1.666688727E+03,1.101809550E+01,6.373226063E+00,1.487711958E+00,4.322396371E-01
a2124,1.661856197E+03,1.495690733E+01,8.613472359E+00,1.991322449E+00,5.821003972E-01
a2125,1.658126257E+03,1.825386633E+01,1.051479255E+01,2.419390428E+00,6.856936245E-01
a2126,1.673160722E+03,1.352877233E+01,7.872432095E+00,1.864940898E+00,5.731330404E-01
a2127,1.677683859E+03,1.157326457E+01,6.697232732E+00,1.570770395E+00,4.748736655E-01
a2128,1.674399121E+03,1.407264752E+01,8.112742419E+00,1.876806251E+00,5.386823238E-01
a2129,1.677471153E+03,1.457879259E+01,8.414741069E+00,1.956634018E+00,5.786792621E-01
a213,7.840673493E+00,8.870943513E-02,5.279125067E-02,1.316432937E-02,4.661491385E-03
a2130,1.679446132E+03,1.337481220E+01,7.778636519E+00,1.839640318E+00,5.607785951E-01
a2131,1.689587178E+03,1.066347207E+01,6.053435071E+00,1.350248022E+00,3.456663855E-01
a2132,1.702176385E+03,1.017205194E+01,5.875028024E+00,1.371355775E+00,4.051789512E-01
a2133,1.707151605E+03,8.153216968E+00,4.531033769E+00,9.589344930E-01,2.052099309E-01
a2134,1.710116376E+03,1.020186417E+01,5.893811270E+00,1.377598394E+00,4.103498661E-01
a2135,1.713060813E+03,1.307185706E+01,7.566211027E+00,1.771636387E+00,5.294825921E-01
a2136,1.724360091E+03,1.291253918E+01,7.474798681E+00,1.745514929E+00,5.070563074E-01
a2137,1.722657569E+03,1.796995655E+01,1.033505864E+01,2.370997083E+00,6.664188693E-01
a2138,1.736304499E+03,1.117738771E+01,6.494513469E+00,1.540901828E+00,4.826978752E-01
a2139,1.749366606E+03,8.612330132E+00,4.788773609E+00,1.014546031E+00,2.177442438E-01
a214,7.831988661E+00,9.550086200E-02,5.559557689E-02,1.306613563E-02,3.848764420E-03
a2140,1.743785921E+03,1.899278765E+01,1.097496573E+01,2.535936620E+00,7.103885706E-01
a2141,1.760725656E+03,1.325529041E+01,7.673862345E+00,1.800184483E+00,5.450065749E-01
a2142,1.749114590E+03,2.072342928E+01,1.224019960E+01,2.973747155E+00,9.480340230E-01
a2143,1.778546859E+03,1.056388030E+01,6.077085992E+00,1.405690378E+00,4.064842837E-01
a2144,1.793960248E+03,1.897959149E+01,1.089568800E+01,2.484337793E+00,6.801346996E-01
a2145,1.808931650E+03,1.253511412E+01,7.278182790E+00,1.721460073E+00,5.335930196E-01
a2146,1.813537159E+03,1.164495048E+01,6.750626547E+00,1.588429116E+00,4.788344794E-01
a2147,1.814526976E+03,1.562008910E+01,9.068842937E+00,2.135949347E+00,6.481429764E-01
a2148,1.820310114E+03,1.408036222E+01,8.142445018E+00,1.902092691E+00,5.649861174E-01
a2149,1.825259234E+03,1.179723991E+01,6.841588889E+00,1.612146716E+00,4.897903665E-01
a215,7.836173851E+00,9.242984066E-02,5.420747775E-02,1.302363487E-02,4.165196219E-03
a2150,1.832916996E+03,1.095279207E+01,6.281335909E+00,1.441418053E+00,4.074581101E-01
a2151,1.825379159E+03,1.739319141E+01,1.010374323E+01,2.385506910E+00,7.383997644E-01
a2152,1.837498252E+03,1.338763093E+01,7.754471642E+00,1.817928680E+00,5.417169871E-01
a2153,1.860178978E+03,1.044691639E+01,5.841357330E+00,1.253201676E+00,2.795468251E-01
a2154,1.865095677E+03,1.187614386E+01,6.893638511E+00,1.630402262E+00,5.041384905E-01
a2155,1.882497321E+03,1.457552719E+01,8.417465578E+00,1.953082291E+00,5.566041662E-01
a2156,1.888131197E+03,1.476366847E+01,8.530898832E+00,1.988344119E+00,5.858913285E-01
a2157,1.925885490E+03,1.660866389E+01,9.600005716E+00,2.239296905E+00,6.665436003E-01
a2158,1.925371704E+03,1.813541501E+01,1.043477716E+01,2.394820486E+00,6.632834990E-01
a2159,1.947579251E+03,1.013838890E+01,5.713726581E+00,1.256442833E+00,3.121909428E-01
a216,7.837412150E+00,9.495279965E-02,5.345744781E-02,1.155097000E-02,2.626632337E-03
a2160,1.941690221E+03,1.323441879E+01,7.689096824E+00,1.821194687E+00,5.650682565E-01
a2161,1.944186556E+03,1.409866197E+01,8.192090547E+00,1.935053785E+00,5.876378485E-01
a2162,1.950360186E+03,1.453472506E+01,8.470028591E+00,2.013701008E+00,6.213588537E-01
a2163,1.950249771E+03,1.524752736E+01,8.822872492E+00,2.064005055E+00,6.158238241E-01
a2164,1.954032345E+03,1.367631283E+01,7.905968369E+00,1.844523328E+00,5.408501083E-01
a2165,1.961716451E+03,1.267990695E+01,7.352163403E+00,1.730326557E+00,5.211520213E-01
a2166,1.963443743E+03,1.745117460E+01,1.006648675E+01,2.339718852E+00,6.988770639E-01
a2167,1.987401214E+03,1.514670757E+01,8.770942864E+00,2.058346380E+00,6.227893856E-01
a2168,1.977800251E+03,2.075284427E+01,1.194698997E+01,2.740891950E+00,7.590225355E-01
a2169,2.000583475E+03,9.665252345E+00,5.371038586E+00,1.136682240E+00,2.435517449E-01
a217,7.697937406E+00,1.732030157E-01,9.991826073E-02,2.271175907E-02,6.229557981E-03
a2170,2.006440716E+03,1.144807711E+01,6.414275008E+00,1.383093087E+00,3.138392282E-01
a2171,2.002516157E+03,1.335600443E+01,7.739639032E+00,1.824668161E+00,5.635308775E-01
a2172,2.032799284E+03,1.436329875E+01,8.320787853E+00,1.947569688E+00,5.690595396E-01
a2173,2.049049188E+03,9.402448513E+00,5.215922025E+00,1.099616843E+00,2.328243536E-01
a2174,2.026702483E+03,2.245383516E+01,1.297625592E+01,3.005590676E+00,8.618355537E-01
a2175,2.043278550E+03,1.464187118E+01,8.485028245E+00,1.993663852E+00,6.008870194E-01
a2176,2.042786043E+03,1.610896894E+01,9.313894852E+00,2.167415837E+00,6.236775689E-01
a2177,2.056379113E+03,1.516686232E+01,8.776526622E+00,2.056828329E+00,6.206693392E-01
a2178,2.054974329E+03,2.001049859E+01,1.156013742E+01,2.681629134E+00,7.734063280E-01
a2179,2.066899714E+03,2.125504897E+01,1.222666305E+01,2.812051317E+00,8.065223817E-01
a218,7.846328640E+00,8.968892665E-02,5.052326652E-02,1.094500015E-02,2.514167085E-03
a2180,2.077574600E+03,1.560745484E+01,9.044008510E+00,2.126503434E+00,6.474331599E-01
a2181,2.082903083E+03,2.073502175E+01,1.189671634E+01,2.714695485E+00,7.504831090E-01
a2182,2.135553707E+03,1.446720318E+01,8.396303846E+00,1.980609540E+00,6.021761429E-01
a2183,2.128365647E+03,2.501241727E+01,1.480127544E+01,3.624230045E+00,1.196430658E+00
a2184,2.133409276E+03,2.370145113E+01,1.375207254E+01,3.209473707E+00,9.277267275E-01
a2185,2.155192166E+03,1.643986856E+01,9.510492154E+00,2.216843382E+00,6.406297043E-01
a2186,2.156208103E+03,1.638990034E+01,9.494118407E+00,2.230138218E+00,6.777400375E-01
a2187,2.160611349E+03,1.735342593E+01,1.002254422E+01,2.331423621E+00,6.812573588E-01
a2188,2.176225075E+03,1.580968479E+01,9.158469199E+00,2.152434600E+00,6.543368527E-01
a2189,2.186166459E+03,1.101253516E+01,6.174133814E+00,1.336746216E+00,3.101255391E-01
a219,7.844217537E+00,8.654711486E-02,5.169933166E-02,1.296491335E-02,4.571102889E-03
a2190,2.180152308E+03,1.586082164E+01,9.187137408E+00,2.154878639E+00,6.448545164E-01
a2191,2.200654842E+03,1.499919523E+01,8.688024106E+00,2.041090342E+00,6.168483916E-01
a2192,2.206893385E+03,1.436256298E+01,8.273472304E+00,1.916664155E+00,5.539154535E-01
a2193,2.206282844E+03,1.637572877E+01,9.472438221E+00,2.213737364E+00,6.552517973E-01
a2194,2.242961371E+03,1.944432676E+01,1.121457027E+01,2.605162094E+00,7.745701941E-01
a2195,2.244744550E+03,2.310617165E+01,1.328448446E+01,3.036796305E+00,8.279978375E-01
a2196,2.263311441E+03,1.523397495E+01,8.793829374E+00,2.050677548E+00,6.100768638E-01
a2197,2.288016069E+03,1.176315061E+01,6.539834152E+00,1.384534753E+00,2.964113456E-01
a2198,2.292977902E+03,1.653444215E+01,9.583157762E+00,2.245621706E+00,6.588767189E-01
a2199,2.301801192E+03,1.489453719E+01,8.641429637E+00,2.039227492E+00,6.236140390E-01
a22,9.805604995E-01,1.085755801E-02,6.433285693E-03,1.591346384E-03,5.573104293E-04
a220,7.743796275E+00,1.505506904E-01,8.423950071E-02,1.772929331E-02,3.684240709E-03
a2200,2.333578725E+03,1.897631421E+01,1.103668512E+01,2.610649313E+00,7.976258674E-01
a2201,2.348066630E+03,1.267159229E+01,7.204639012E+00,1.621458804E+00,4.356798985E-01
a2202,2.355491584E+03,1.682530324E+01,9.732729212E+00,2.275803698E+00,6.745795656E-01
a2203,2.390166516E+03,1.816905671E+01,1.050069060E+01,2.447009795E+00,7.167267429E-01
a2204,2.408580021E+03,1.674327635E+01,9.703683672E+00,2.282158720E+00,6.908598706E-01
a2205,2.433056004E+03,1.933817555E+01,1.119252159E+01,2.622539282E+00,7.907593620E-01
a2206,2.445267254E+03,2.280541439E+01,1.310647945E+01,2.998847287E+00,8.220051296E-01
a2207,2.506950593E+03,1.487583452E+01,8.586811773E+00,2.000603758E+00,5.861565564E-01
a2208,2.619077536E+03,1.875012211E+01,1.085342524E+01,2.546883248E+00,7.720338602E-01
a2209,2.665599045E+03,1.736791803E+01,1.002295929E+01,2.331102627E+00,6.789754480E-01
a221,7.815271858E+00,1.082761762E-01,6.069081416E-02,1.294033757E-02,2.820814120E-03
a2210,2.680988427E+03,1.761122080E+01,1.022244569E+01,2.420499974E+00,7.574062429E-01
a2211,2.718945612E+03,1.998062544E+01,1.156557357E+01,2.706321548E+00,8.018679151E-01
a2212,2.754810155E+03,2.105968381E+01,1.228468637E+01,2.929434150E+00,9.160402289E-01
a2213,2.856679341E+03,2.068006907E+01,1.197519609E+01,2.812160012E+00,8.532342076E-01
a2214,2.933578463E+03,2.022559050E+01,1.167398266E+01,2.718962669E+00,8.030009154E-01
a2215,2.941490372E+03,2.021263640E+01,1.171750103E+01,2.753841310E+00,8.256496901E-01
a2216,3.024230628E+03,2.093461940E+01,1.213322487E+01,2.849510471E+00,8.520169451E-01
a2217,3.066529007E+03,2.364197518E+01,1.367551771E+01,3.198283151E+00,9.552171150E-01
a2218,3.098741224E+03,2.235598637E+01,1.295134096E+01,3.039500594E+00,9.119484644E-01
a2219,3.529589204E+03,2.254738023E+01,1.298465396E+01,3.007675655E+00,8.710865319E-01
a222,7.852193111E+00,8.410047397E-02,4.879846290E-02,1.145034075E-02,3.457611632E-03
a2220,4.231262108E+03,4.514977527E+01,2.596580847E+01,5.952828835E+00,1.669479551E+00
a2221,5.555713143E+03,5.750988620E+01,3.305323600E+01,7.579401831E+00,2.144333108E+00
a2222,1.942398695E+00,1.114067579E-02,1.948961264E-02,1.327412094E-02,1.369689533E-02
a2223,1.945954124E+00,1.064219893E-02,1.853575017E-02,1.251069257E-02,1.235723470E-02
a2224,1.944993266E+00,1.069785729E-02,1.868542525E-02,1.268830700E-02,1.293514433E-02
a2225,1.947813482E+00,9.996977999E-03,1.751728766E-02,1.198281462E-02,1.268943743E-02
a2226,1.943711956E+00,1.082301776E-02,1.895209891E-02,1.293921380E-02,1.357371352E-02
a2227,1.948655246E+00,9.834514923E-03,1.723323269E-02,1.179038956E-02,1.248661663E-02
a2228,1.941470316E+00,1.105198995E-02,1.944048305E-02,1.339582099E-02,1.464138962E-02
a2229,1.944590005E+00,1.084908810E-02,1.892460019E-02,1.281189728E-02,1.282440976E-02
a223,7.841456823E+00,8.975833322E-02,5.254299673E-02,1.249473278E-02,3.747114416E-03
a2230,1.940800772E+00,1.132965361E-02,1.986804484E-02,1.360017641E-02,1.440135320E-02
a2231,1.939695669E+00,1.141504001E-02,2.007508368E-02,1.382217070E-02,1.499203653E-02
a2232,1.938811702E+00,1.135720831E-02,2.006382927E-02,1.394636135E-02,1.582089891E-02
a2233,2.917593769E+00,1.620044747E-02,2.823091795E-02,1.907220021E-02,1.890266529E-02
a2234,2.923052150E+00,1.475369957E-02,2.584896360E-02,1.767808620E-02,1.866710049E-02
a2235,2.921040251E+00,1.545561985E-02,2.695599797E-02,1.825052402E-02,1.829760746E-02
a2236,2.882943264E+00,2.302860634E-02,4.020222837E-02,2.717036101E-02,2.665554038E-02
a2237,2.917834989E+00,1.615432263E-02,2.815040935E-02,1.901771874E-02,1.884256077E-02
a2238,2.927379899E+00,1.388883461E-02,2.433864340E-02,1.666059485E-02,1.773202821E-02
a2239,2.909823866E+00,1.710173034E-02,3.007414165E-02,2.070004718E-02,2.230021505E-02
