Sa(0.7),Sd(0.7),PGA,Slight,Moderate,Extensive,Collapse
1.9662154858894956,0.23824937020064579,1.2,1.0,1.0,1.0,1.0
0.81318350392229544,0.098152676769383246,1.2,1.0,1.0,1.0,1.0
1.0194726649678436,0.12353845218847186,1.2,1.0,1.0,1.0,1.0
0.53003385331327202,0.064154021002928899,1.2,1.0,1.0,1.0,1.0
1.3768575129715985,0.16748859784868814,1.2,1.0,1.0,1.0,1.0
0.9699166933721749,0.11748912975082718,1.2,1.0,1.0,1.0,1.0
0.6942616205055101,0.083806424201777432,1.2,1.0,1.0,1.0,1.0
0.21032793780859385,0.025293643623647756,1.2,1.0,1.0,1.0,1.0
0.89948240824363401,0.10878067774357426,1.2,1.0,1.0,1.0,1.0
0.95167441289316368,0.11490629948026648,1.2,1.0,1.0,1.0,1.0
0.7215790055966671,0.087522697775318251,1.2,1.0,1.0,1.0,1.0
0.42249041047429869,0.051126675605421862,1.2,1.0,1.0,1.0,1.0
0.44819431856214637,0.053916546358101732,1.2,1.0,1.0,1.0,1.0
1.1817737829758697,0.14306084290096122,1.2,1.0,1.0,1.0,1.0
0.48632593648964983,0.058918500035005282,1.2,1.0,1.0,1.0,1.0
0.75743380055653065,0.091738784170505031,1.2,1.0,1.0,1.0,1.0
0.42089510387106777,0.050769881780849138,1.2,1.0,1.0,1.0,1.0
0.45038451725213052,0.05437169494256841,1.2,1.0,1.0,1.0,1.0
0.79835491430794936,0.096659965558609562,1.2,1.0,1.0,1.0,1.0
0.67583719703063172,0.08134252009546955,1.2,1.0,1.0,1.0,1.0
0.57991967204463069,0.07033503985730391,1.2,1.0,1.0,1.0,1.0
1.0507535940463093,0.12744401446349515,1.2,1.0,1.0,1.0,1.0
1.1204956174669611,0.13550709847430975,1.2,1.0,1.0,1.0,1.0
0.56119547810246961,0.068027095180243927,1.2,1.0,1.0,1.0,1.0
0.57411926674577018,0.069461194677922763,1.2,1.0,1.0,1.0,1.0
0.51735148879822757,0.062456313228641425,1.1992,1.0,1.0,1.0,1.0
0.42149101423903274,0.050503693621366502,1.2,1.0,1.0,1.0,1.0
0.88809787325819112,0.10733943625562287,1.2,1.0,1.0,1.0,1.0
0.60428233113694241,0.072974536358870218,1.2,1.0,1.0,1.0,1.0
3.3810874582337034,0.41002317376671576,1.2,1.0,1.0,1.0,1.0
