Vb-droof,FALSE
Vb-dfloor,FALSE
Sd-Sa,TRUE
Periods [s],0.32
Heights [m],3.0
Gamma participation factors,1.275
Sdy [m],0.0313963893988
Say [g],0.449613939899
Sd1 [m],0.0,0.0313963893988,0.313870588235,0.313870588235,0.313870588235
Sa1 [g],0.0,0.449613939899,0.449613939899,0.449613939899,0.449613939899
