rupture_tag,aggregate_loss,insured_loss
col=00~ses=0001~src=238-61~rup=001-02,1.3693372E+06,0.0000000E+00
col=00~ses=0001~src=238-75~rup=001-01,2.1731830E+06,0.0000000E+00
col=00~ses=0001~src=238-7~rup=001-01,2.8246305E+04,0.0000000E+00
col=00~ses=0001~src=238-7~rup=004-01,5.3494938E+05,0.0000000E+00
col=00~ses=0001~src=238-82~rup=001-01,4.3571490E+06,0.0000000E+00
col=00~ses=0001~src=238-84~rup=004-01,2.9728846E+07,0.0000000E+00
col=00~ses=0001~src=238-90~rup=001-01,2.6374970E+06,0.0000000E+00
col=00~ses=0001~src=238-92~rup=001-01,6.0008810E+06,0.0000000E+00
col=00~ses=0001~src=238-92~rup=001-02,8.6733730E+06,0.0000000E+00
col=00~ses=0001~src=238-93~rup=001-01,1.0343739E+07,0.0000000E+00
col=00~ses=0001~src=238-94~rup=001-01,4.3226850E+06,0.0000000E+00
col=00~ses=0001~src=239-26~rup=001-01,1.9261523E+04,0.0000000E+00
col=00~ses=0001~src=239-27~rup=001-01,1.3736302E+04,0.0000000E+00
col=00~ses=0001~src=240-116~rup=002-01,3.1525565E+06,0.0000000E+00
col=00~ses=0001~src=240-15~rup=001-01,1.4607878E+03,0.0000000E+00
col=00~ses=0001~src=240-76~rup=001-01,2.0604699E+06,0.0000000E+00
col=00~ses=0001~src=240-77~rup=001-01,6.0086088E+05,0.0000000E+00
col=00~ses=0001~src=243-200~rup=004-01,1.0940598E+04,0.0000000E+00
col=00~ses=0001~src=272-192~rup=001-01,1.6867302E+06,0.0000000E+00
col=00~ses=0001~src=374-203~rup=001-01,3.6448428E+07,0.0000000E+00
col=00~ses=0001~src=374-237~rup=001-01,1.3892618E+07,0.0000000E+00
col=00~ses=0001~src=376-178~rup=001-01,6.1110706E+05,0.0000000E+00
col=00~ses=0001~src=386-57~rup=001-01,3.0143258E+07,0.0000000E+00
col=00~ses=0001~src=386-57~rup=002-01,3.9941448E+07,0.0000000E+00
col=00~ses=0002~src=226-182~rup=004-01,5.6858210E+06,0.0000000E+00
col=00~ses=0002~src=227-132~rup=001-01,9.3270392E+07,2.9578594E+03
col=00~ses=0002~src=227-194~rup=002-01,4.3451344E+08,0.0000000E+00
col=00~ses=0002~src=227-203~rup=001-01,2.2819586E+08,0.0000000E+00
col=00~ses=0002~src=227-42~rup=001-01,2.4094528E+06,0.0000000E+00
col=00~ses=0002~src=227-44~rup=002-01,6.7266885E+06,0.0000000E+00
col=00~ses=0002~src=227-58~rup=003-01,1.6622066E+07,0.0000000E+00
col=00~ses=0002~src=228-138~rup=002-01,8.3652184E+07,0.0000000E+00
col=00~ses=0002~src=228-170~rup=002-01,2.1094530E+07,0.0000000E+00
col=00~ses=0002~src=228-172~rup=001-01,9.6174160E+06,0.0000000E+00
col=00~ses=0002~src=229-113~rup=001-01,7.4453056E+08,0.0000000E+00
col=00~ses=0002~src=229-117~rup=001-01,7.6903718E+08,0.0000000E+00
col=00~ses=0002~src=229-120~rup=002-01,4.2154502E+08,0.0000000E+00
col=00~ses=0002~src=229-121~rup=001-01,2.2143922E+08,0.0000000E+00
col=00~ses=0002~src=229-126~rup=002-01,3.2870899E+08,2.7200686E+04
col=00~ses=0002~src=229-71~rup=002-01,9.4980634E+08,1.0481912E+03
col=00~ses=0002~src=229-87~rup=001-01,6.8142656E+07,0.0000000E+00
col=00~ses=0002~src=229-89~rup=001-01,8.0058202E+08,0.0000000E+00
col=00~ses=0002~src=229-97~rup=001-01,3.6270643E+08,1.3274232E+03
col=00~ses=0002~src=230-137~rup=001-01,3.8251264E+08,0.0000000E+00
col=00~ses=0002~src=230-263~rup=001-01,1.1090874E+09,0.0000000E+00
col=00~ses=0002~src=230-7~rup=001-01,5.8455584E+08,0.0000000E+00
col=00~ses=0002~src=230-8~rup=001-01,1.1877946E+09,0.0000000E+00
col=00~ses=0002~src=230-8~rup=001-02,1.1224252E+09,0.0000000E+00
col=00~ses=0002~src=230-96~rup=001-01,7.3777210E+08,0.0000000E+00
col=00~ses=0002~src=231-179~rup=002-01,8.9681344E+08,0.0000000E+00
col=00~ses=0002~src=231-48~rup=002-01,7.5345306E+08,5.4881235E+03
col=00~ses=0002~src=231-98~rup=001-01,3.9670038E+08,5.0708453E+02
col=00~ses=0002~src=232-113~rup=001-01,5.7730221E+08,6.9980205E+03
col=00~ses=0002~src=232-13~rup=002-01,3.0720410E+08,1.7115350E+05
col=00~ses=0002~src=232-1~rup=002-01,2.0113864E+08,7.8370836E+04
col=00~ses=0002~src=232-34~rup=001-01,3.1333059E+08,5.1275068E+03
col=00~ses=0002~src=232-34~rup=002-01,3.6336998E+08,1.3531941E+03
col=00~ses=0002~src=232-50~rup=001-01,2.0707418E+08,0.0000000E+00
col=00~ses=0002~src=232-9~rup=001-01,8.4968792E+07,3.7155488E+03
col=00~ses=0002~src=233-21~rup=001-01,4.3921268E+07,3.9885513E+02
col=00~ses=0002~src=233-22~rup=002-01,7.9291568E+07,1.1132500E+03
col=00~ses=0002~src=233-58~rup=002-01,7.1497472E+07,2.0028757E+03
col=00~ses=0002~src=233-80~rup=002-01,8.1475984E+07,1.3635851E+03
col=00~ses=0002~src=234-100~rup=004-01,6.1910989E+08,1.6853936E+04
col=00~ses=0002~src=234-115~rup=001-01,1.1386602E+08,1.2896485E+04
col=00~ses=0002~src=234-133~rup=002-01,2.3450328E+08,1.2864930E+03
col=00~ses=0002~src=234-134~rup=004-01,2.7334634E+08,1.1398659E+04
col=00~ses=0002~src=234-147~rup=001-01,2.2422512E+08,0.0000000E+00
col=00~ses=0002~src=234-153~rup=002-01,2.9645430E+08,0.0000000E+00
col=00~ses=0002~src=234-3~rup=001-01,8.1317632E+07,0.0000000E+00
col=00~ses=0002~src=235-123~rup=001-01,1.5726533E+08,0.0000000E+00
col=00~ses=0002~src=235-17~rup=001-01,1.4737242E+07,0.0000000E+00
col=00~ses=0002~src=235-251~rup=001-01,2.5429312E+08,0.0000000E+00
col=00~ses=0002~src=235-27~rup=002-01,5.2313016E+07,0.0000000E+00
