Rupture,Magnitude,Aggregate Loss
smlt=00|ses=0005|src=229-124|rup=004-01,6.7500000,284699854.5140000
smlt=00|ses=0002|src=229-17|rup=001-01,5.2500000,281720037.3880000
smlt=00|ses=0008|src=231-141|rup=005-01,7.2500000,279628284.6670000
smlt=00|ses=0002|src=229-26|rup=001-01,5.2500000,278071914.0560000
smlt=00|ses=0003|src=230-105|rup=004-01,6.7500000,277104545.8340000
smlt=00|ses=0005|src=229-107|rup=003-01,6.2500000,276493273.4620000
smlt=00|ses=0008|src=229-9|rup=002-01,5.7500000,274616204.2960000
smlt=00|ses=0003|src=231-71|rup=001-01,5.2500000,273132238.9950000
smlt=00|ses=0010|src=232-110|rup=003-01,6.2500000,271010450.6830000
smlt=00|ses=0003|src=231-116|rup=002-01,5.7500000,269875520.6070000
smlt=00|ses=0004|src=229-138|rup=002-01,5.7500000,267424257.6600000
smlt=00|ses=0008|src=231-238|rup=001-01,5.2500000,263409364.9320000
smlt=00|ses=0001|src=229-50|rup=001-01,5.2500000,262417698.9540000
smlt=00|ses=0009|src=229-76|rup=002-01,5.7500000,259571377.6910000
smlt=00|ses=0004|src=229-50|rup=002-01,5.7500000,257974854.8940000
smlt=00|ses=0004|src=229-28|rup=001-01,5.2500000,255506766.6230000
smlt=00|ses=0005|src=231-64|rup=001-01,5.2500000,253666210.4560000
smlt=00|ses=0003|src=231-124|rup=003-01,6.2500000,251850011.1110000
smlt=00|ses=0005|src=231-253|rup=004-01,6.7500000,251506255.5600000
smlt=00|ses=0005|src=230-238|rup=001-01,5.2500000,247864960.5200000
smlt=00|ses=0003|src=229-122|rup=002-01,5.7500000,242658596.4480000
smlt=00|ses=0007|src=229-55|rup=002-01,5.7500000,240461170.4790000
smlt=00|ses=0009|src=229-29|rup=001-01,5.2500000,235938545.4210000
smlt=00|ses=0005|src=229-49|rup=001-01,5.2500000,234783018.0540000
smlt=00|ses=0009|src=230-188|rup=001-01,5.2500000,234244955.6860000
smlt=00|ses=0002|src=234-102|rup=002-01,5.7500000,233468104.1850000
smlt=00|ses=0003|src=229-121|rup=002-01,5.7500000,231911221.4710000
smlt=00|ses=0006|src=230-315|rup=002-01,5.7500000,231058336.2760000
smlt=00|ses=0005|src=229-103|rup=002-01,5.7500000,229461644.1620000
smlt=00|ses=0004|src=231-81|rup=003-01,6.2500000,228895741.5620000
smlt=00|ses=0003|src=231-45|rup=002-01,5.7500000,226656177.9520000
smlt=00|ses=0005|src=231-81|rup=003-01,6.2500000,218715998.1060000
smlt=00|ses=0010|src=229-17|rup=001-01,5.2500000,217858978.6650000
smlt=00|ses=0003|src=230-164|rup=002-01,5.7500000,215007936.1110000
smlt=00|ses=0010|src=229-30|rup=001-01,5.2500000,213093258.0920000
smlt=00|ses=0009|src=231-119|rup=002-01,5.7500000,207948492.7070000
smlt=00|ses=0009|src=231-56|rup=003-01,6.2500000,204337022.8070000
smlt=00|ses=0003|src=232-76|rup=003-01,6.2500000,201511902.0370000
smlt=00|ses=0003|src=232-107|rup=002-01,5.7500000,199066214.6900000
smlt=00|ses=0004|src=229-148|rup=005-01,7.2500000,198004761.8550000
smlt=00|ses=0010|src=231-198|rup=003-01,6.2500000,197345144.7430000
