Rupture,Magnitude,Aggregate Loss
smlt=00|ses=0005|src=229-124|rup=004-01,6.7500000,474156980.3540000
smlt=00|ses=0009|src=229-134|rup=001-01,5.2500000,472921235.3320000
smlt=00|ses=0010|src=230-104|rup=001-01,5.2500000,471830214.8330000
smlt=00|ses=0008|src=229-9|rup=002-01,5.7500000,466647425.5660000
smlt=00|ses=0003|src=230-105|rup=004-01,6.7500000,465105450.4890000
smlt=00|ses=0002|src=229-26|rup=001-01,5.2500000,463050987.8570000
smlt=00|ses=0005|src=229-107|rup=003-01,6.2500000,460464544.0230000
smlt=00|ses=0010|src=232-110|rup=003-01,6.2500000,459399862.2680000
smlt=00|ses=0008|src=231-141|rup=005-01,7.2500000,453017222.9280000
smlt=00|ses=0003|src=231-71|rup=001-01,5.2500000,449707982.3260000
smlt=00|ses=0001|src=229-50|rup=001-01,5.2500000,447865443.1130000
smlt=00|ses=0003|src=231-116|rup=002-01,5.7500000,439488206.9540000
smlt=00|ses=0009|src=229-76|rup=002-01,5.7500000,438030707.0220000
smlt=00|ses=0004|src=229-138|rup=002-01,5.7500000,438012031.0300000
smlt=00|ses=0004|src=229-50|rup=002-01,5.7500000,433187409.3080000
smlt=00|ses=0004|src=229-28|rup=001-01,5.2500000,426461289.6690000
smlt=00|ses=0005|src=231-253|rup=004-01,6.7500000,425007169.6520000
smlt=00|ses=0005|src=231-64|rup=001-01,5.2500000,418322728.6580000
smlt=00|ses=0005|src=230-238|rup=001-01,5.2500000,414980078.0110000
smlt=00|ses=0003|src=231-124|rup=003-01,6.2500000,410063399.0210000
smlt=00|ses=0007|src=229-55|rup=002-01,5.7500000,404788483.2800000
smlt=00|ses=0003|src=229-122|rup=002-01,5.7500000,403264219.8490000
smlt=00|ses=0008|src=231-238|rup=001-01,5.2500000,399620143.5680000
smlt=00|ses=0005|src=229-49|rup=001-01,5.2500000,397917743.0180000
smlt=00|ses=0009|src=229-29|rup=001-01,5.2500000,392569897.7830000
smlt=00|ses=0009|src=230-188|rup=001-01,5.2500000,391995481.7730000
smlt=00|ses=0003|src=229-121|rup=002-01,5.7500000,387668611.3380000
smlt=00|ses=0005|src=229-103|rup=002-01,5.7500000,386932314.9320000
