RC,Sa(0.8),0.01,2.0
Damage state,log mean,log stddev,mean,stddev,median,cov,Rsquare
Slight,-2.4586203244908251,0.14094792909489659,0.08640695012612526,0.012239619154793576,0.08555290482711371,0.14165086415997583,0.97786877517182169
Moderate,-1.9983994458215613,0.22809625841029074,0.13912457916354617,0.03215106576520533,0.13555206813139234,0.23109551136474987,0.96445189694721756
Extensive,-1.7329149526491512,0.23386405450445463,0.1816690316791286,0.04307344334634364,0.17676838676637013,0.23709843636102904,0.96110980115601408
Collapse,-1.3026595942531483,0.25488410562894348,0.28078201989262647,0.0727451120713924,0.2718079320583869,0.25908037879067464,0.92668684554110969
