EU_1,Sa(0.3),0.01,2.0
Damage state,log mean,log stddev,mean,stddev,median,cov,Rsquare
Slight,-2.2121600587475316,0.017366009113825902,0.10948045162765212,0.0019013818728154065,0.10946394440949851,0.017367318498850287,0.93889572729908133
Moderate,-1.2494104555719272,0.27205059177871427,0.29748106790117906,0.08245068439025481,0.28667375396576167,0.27716279550819783,0.89948130897493839
Extensive,-0.97521285966157323,0.30727194239784089,0.39534169540311576,0.12440197287299326,0.3771120730709718,0.3146694981063028,0.87072963357824418
Collapse,-0.62526958591113357,0.36875771182744121,0.5727657489820911,0.21859967650475268,0.5351171490278211,0.38165633488602285,0.73254342057879041
